time,dev_addr,f_cnt,home_network_net_id,forwarder_gateway_id
2023-01-04 00:00:04.213233 UTC,1061EAE3,3926,8,eui-00800000a00061e0
2023-01-04 00:00:04.223328 UTC,28537958,30372,14,tzl-campus-wtp
2023-01-04 00:00:04.239254 UTC,1061EAE3,3926,8,eui-00800000a0004e9f
2023-01-04 00:00:04.251697 UTC,1061EAE3,3926,8,eui-00800000a0007006
2023-01-04 00:00:04.270193 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:04.270466 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:04.285492 UTC,00F8E4A8,24387,0,eui-3436323866005100
2023-01-04 00:00:04.287264 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:04.287361 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:04.290461 UTC,0052885E,2116,0,eui-3436323866005100
2023-01-04 00:00:04.312182 UTC,107C9F5B,13950,8,eui-00800000a0007006
2023-01-04 00:00:04.363794 UTC,016605F6,33623,0,eui-3436323866005100
2023-01-04 00:00:04.384779 UTC,260B3FE9,55331,13,csn-mtcdtip-005f06
2023-01-04 00:00:04.403043 UTC,80FE9FA4,29530,200000,uhv3-hcc-library
2023-01-04 00:00:04.451005 UTC,002151DF,34703,0,eui-3436323866005100
2023-01-04 00:00:04.456437 UTC,005E7003,33995,0,ifremer-doi-gateway
2023-01-04 00:00:04.456552 UTC,00F4EC14,42876,0,ifremer-doi-gateway
2023-01-04 00:00:04.456562 UTC,0046AB1A,20054,0,ifremer-doi-gateway
2023-01-04 00:00:04.457146 UTC,00892C1A,38992,0,ifremer-doi-gateway
2023-01-04 00:00:04.45769 UTC,1086E9E3,14922,8,eui-00800000a0004e9f
2023-01-04 00:00:04.458323 UTC,10473A15,5992,8,eui-00800000a0004e9f
2023-01-04 00:00:04.467085 UTC,1086E9E3,14922,8,eui-00800000a0007006
2023-01-04 00:00:04.505744 UTC,260BAD5B,54567,13,csn-mtcdtip-005f06
2023-01-04 00:00:04.51715 UTC,81F1738A,49431,200001,eui-00800000a0004e9f
2023-01-04 00:00:04.517362 UTC,108BDF5D,22217,8,eui-00800000a0004e9f
2023-01-04 00:00:04.517394 UTC,10B0589D,27599,8,eui-00800000a0004e9f
2023-01-04 00:00:04.52678 UTC,108BDF5D,22217,8,eui-00800000a00061e0
2023-01-04 00:00:04.533928 UTC,10B0589D,27599,8,eui-00800000a0007006
2023-01-04 00:00:04.533959 UTC,11021FE5,13849,8,eui-00800000a0007006
2023-01-04 00:00:04.538649 UTC,D0B304E6,26800,40010B,eui-00800000a0007006
2023-01-04 00:00:04.540818 UTC,10B96C83,21474,8,eui-00800000a00061e3
2023-01-04 00:00:04.576716 UTC,10B96C83,21474,8,eui-00800000a0004e9f
2023-01-04 00:00:04.586719 UTC,10B96C83,21474,8,eui-00800000a00061e0
2023-01-04 00:00:04.595804 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:04.598794 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:04.598883 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:04.599073 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:04.632117 UTC,1.06E+065,11213,0,ac1f09fffe06d9fd
2023-01-04 00:00:04.634647 UTC,260BB65C,25267,13,csn-mtcdtip-005f06
2023-01-04 00:00:04.687887 UTC,007FA43A,3838,0,lora-db0fc
2023-01-04 00:00:04.708485 UTC,260BD389,3570,13,nuig-new-gateway
2023-01-04 00:00:04.721295 UTC,102E4267,2528,8,eui-00800000a0007006
2023-01-04 00:00:04.732124 UTC,109E6D12,14031,8,eui-00800000a00061e3
2023-01-04 00:00:04.766413 UTC,00EB13E3,48235,0,lora-db0fc
2023-01-04 00:00:04.780895 UTC,0894E846,90,4,ch-zrh-kaeferberg
2023-01-04 00:00:04.784916 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:04.784971 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:04.826954 UTC,10770DEF,3883,8,eui-00800000a0007006
2023-01-04 00:00:04.862922 UTC,10B0FB36,12672,8,eui-00800000a0007006
2023-01-04 00:00:04.947255 UTC,4800086C,42396,24,ch-zrh-kaeferberg
2023-01-04 00:00:04.947655 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:04.947983 UTC,00E8F365,41201,0,ifremer-doi-gateway
